source,source_id,title,date,artist,medium,classification,object_url,download_url,high_res_url,license_status,original_path,photopainter_bmp_path,preview_jpg_path,original_sha256
artic,1954.651,A Group of Young Women Entering the Garden of a Horticulturist,n.d.,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; surimono,woodblock print; print; asian art,https://www.artic.edu/artworks/81266,"https://www.artic.edu/iiif/2/cef38684-fb59-402a-2acb-a90bd4a36274/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/cef38684-fb59-402a-2acb-a90bd4a36274/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0001_artic_1954.651_a-group-of-young-women-entering-the-garden-of-a-horticulturist.jpg,hokusai_photopainter/photopainter_800x480_bmp/0001_artic_1954.651_a-group-of-young-women-entering-the-garden-of-a-horticulturist.bmp,hokusai_photopainter/preview_800x480_jpg/0001_artic_1954.651_a-group-of-young-women-entering-the-garden-of-a-horticulturist.jpg,3b571d2186c709ddde1df42b7dbdd2461f61cd0bf40d0e3dd93cd56b80afb1c5
artic,1954.645,A Keg of Sake and a Basket of Oranges,1820,"Katsushika Hokusai (Japanese, 1760-1849)",Color woodblock print; surimono,woodblock print; print; asian art,https://www.artic.edu/artworks/81254,"https://www.artic.edu/iiif/2/7468e1b5-9772-f2b8-983e-dbb794145452/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/7468e1b5-9772-f2b8-983e-dbb794145452/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0002_artic_1954.645_a-keg-of-sake-and-a-basket-of-oranges.jpg,hokusai_photopainter/photopainter_800x480_bmp/0002_artic_1954.645_a-keg-of-sake-and-a-basket-of-oranges.bmp,hokusai_photopainter/preview_800x480_jpg/0002_artic_1954.645_a-keg-of-sake-and-a-basket-of-oranges.jpg,571ea7519398b67c6fa57e2cdf1d81516b1b69c5e95b0cab0bbf1b59acd0c271
artic,1985.619,"A Man Shooting with a Blowpipe, illustration for the Conch Shell (Horagai), from the series ""A Matching Game with Genroku-period Poem Shells (Genroku kasen kai awase)""",1821,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849","Color woodblock print; shikishiban, surimono",woodblock print; print; asian art,https://www.artic.edu/artworks/104484,"https://www.artic.edu/iiif/2/a1c5c4cc-c57c-239b-1f53-30302b4045cd/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/a1c5c4cc-c57c-239b-1f53-30302b4045cd/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0003_artic_1985.619_a-man-shooting-with-a-blowpipe-illustration-for-the-conch-shell-horagai-from-the.jpg,hokusai_photopainter/photopainter_800x480_bmp/0003_artic_1985.619_a-man-shooting-with-a-blowpipe-illustration-for-the-conch-shell-horagai-from-the.bmp,hokusai_photopainter/preview_800x480_jpg/0003_artic_1985.619_a-man-shooting-with-a-blowpipe-illustration-for-the-conch-shell-horagai-from-the.jpg,4e752769f96358220f6308bd8635e62ded38b6c5c206020f8c624907744c6ed2
artic,1925.3243,"A Mild Breeze on a Fine Day (Gaifu kaisei), from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)""",c. 1830/33,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; oban,woodblock print; print; asian art,https://www.artic.edu/artworks/87005,"https://www.artic.edu/iiif/2/38726da7-8122-dc49-9243-766a1eeba9ed/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/38726da7-8122-dc49-9243-766a1eeba9ed/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0004_artic_1925.3243_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,hokusai_photopainter/photopainter_800x480_bmp/0004_artic_1925.3243_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.bmp,hokusai_photopainter/preview_800x480_jpg/0004_artic_1925.3243_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,c8353230c252cffdcbb21caed84d93b4c5fbcb74f3dc8fc97514445a4b8bfc9e
artic,1928.1085,"A Mild Breeze on a Fine Day (Gaifu kaisei), from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)""",c. 1830/33,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; oban,woodblock print; print; asian art,https://www.artic.edu/artworks/89500,"https://www.artic.edu/iiif/2/6b9e45c1-2f3c-02ed-aff2-16777ee379cb/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/6b9e45c1-2f3c-02ed-aff2-16777ee379cb/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0005_artic_1928.1085_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,hokusai_photopainter/photopainter_800x480_bmp/0005_artic_1928.1085_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.bmp,hokusai_photopainter/preview_800x480_jpg/0005_artic_1928.1085_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,cb515d2c55730ee4de043d9633d9cafa7d2f5fc6e823a841b48864557119458b
artic,1952.341,"A Mild Breeze on a Fine Day (Gaifu kaisei), from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)""",c. 1830-33,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; ōban,woodblock print; print; asian art,https://www.artic.edu/artworks/77328,"https://www.artic.edu/iiif/2/1c3d76ef-338c-10d1-807a-d67fe5b20b16/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/1c3d76ef-338c-10d1-807a-d67fe5b20b16/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0006_artic_1952.341_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,hokusai_photopainter/photopainter_800x480_bmp/0006_artic_1952.341_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.bmp,hokusai_photopainter/preview_800x480_jpg/0006_artic_1952.341_a-mild-breeze-on-a-fine-day-gaifu-kaisei-from-the-series-thirty-six-views-of-mou.jpg,bbccfd34ebb772d2fcc5acaa8b0951310d8d5794c3c102d712eb955c7050ad89
artic,1997.735,A Perspective View: The Two Deva Kings Gate of Kinryuzan Temple (Ukie: Kinryuzan niomon no zu),1781/89,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849
Brush name: Katsukawa Shunro",Color woodblock print,woodblock print; print; asian art,https://www.artic.edu/artworks/149104,"https://www.artic.edu/iiif/2/b8acd342-a7e9-d370-ef63-fcdb9284b653/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/b8acd342-a7e9-d370-ef63-fcdb9284b653/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0008_artic_1997.735_a-perspective-view-the-two-deva-kings-gate-of-kinryuzan-temple-ukie-kinryuzan-ni.jpg,hokusai_photopainter/photopainter_800x480_bmp/0008_artic_1997.735_a-perspective-view-the-two-deva-kings-gate-of-kinryuzan-temple-ukie-kinryuzan-ni.bmp,hokusai_photopainter/preview_800x480_jpg/0008_artic_1997.735_a-perspective-view-the-two-deva-kings-gate-of-kinryuzan-temple-ukie-kinryuzan-ni.jpg,a90ef493dbab474e87c3ce92fd1ab05b047002182236be8bfaa0a11ebc784bda
artic,1939.1186,"A Philosopher Watching a Pair of Butterflies, from The Picture Book of Realistic Paintings of Hokusai (Hokusai shashin gafu)",c. 1814,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock; album sheet,woodblock print; print; asian art,https://www.artic.edu/artworks/33421,"https://www.artic.edu/iiif/2/7fe206a1-a597-30ba-ffb5-f2c945325358/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/7fe206a1-a597-30ba-ffb5-f2c945325358/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0009_artic_1939.1186_a-philosopher-watching-a-pair-of-butterflies-from-the-picture-book-of-realistic.jpg,hokusai_photopainter/photopainter_800x480_bmp/0009_artic_1939.1186_a-philosopher-watching-a-pair-of-butterflies-from-the-picture-book-of-realistic.bmp,hokusai_photopainter/preview_800x480_jpg/0009_artic_1939.1186_a-philosopher-watching-a-pair-of-butterflies-from-the-picture-book-of-realistic.jpg,576a41b99586362ea57e7c934f34c7f9b6c474c708c0a1f3632c84e6a3c82d90
artic,1928.416,"A turner and his assistant, from the series ""Thirty-six Poets as Craftsmen (Shokunin sanjurokuban)""",1802,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; surimono,woodblock print; print; asian art,https://www.artic.edu/artworks/60578,"https://www.artic.edu/iiif/2/8155b80d-bed0-902c-df83-4041379d4b60/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/8155b80d-bed0-902c-df83-4041379d4b60/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0010_artic_1928.416_a-turner-and-his-assistant-from-the-series-thirty-six-poets-as-craftsmen-shokuni.jpg,hokusai_photopainter/photopainter_800x480_bmp/0010_artic_1928.416_a-turner-and-his-assistant-from-the-series-thirty-six-poets-as-craftsmen-shokuni.bmp,hokusai_photopainter/preview_800x480_jpg/0010_artic_1928.416_a-turner-and-his-assistant-from-the-series-thirty-six-poets-as-craftsmen-shokuni.jpg,31111db9a571cbb8d3e2b694f85fe5070d550c2654ee81a7d4665afc116b4b85
artic,1925.3204,A Wayside Scene (Oji),1801–04,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849",Color woodblock print; oban surimono,woodblock print; print; asian art,https://www.artic.edu/artworks/24470,"https://www.artic.edu/iiif/2/110b08c1-9818-82b2-5962-00b7f2281932/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/110b08c1-9818-82b2-5962-00b7f2281932/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0011_artic_1925.3204_a-wayside-scene-oji.jpg,hokusai_photopainter/photopainter_800x480_bmp/0011_artic_1925.3204_a-wayside-scene-oji.bmp,hokusai_photopainter/preview_800x480_jpg/0011_artic_1925.3204_a-wayside-scene-oji.jpg,ff30ce8e33915032aed7caba02ad90190975a00f36a5ce046c852b75ad3df56a
